day,pressure ,maxtemp,temparature,mintemp,dewpoint,humidity ,cloud ,rainfall,sunshine,         winddirection,windspeed,agriculture_suitability,flood_occurence,intensity,advisory
1,1025.9,19.9,18.3,16.8,13.1,72,49,yes,9.3,80,26.3,76,86,7.79,"High rainfall, consider drainage systems"
2,1022,21.7,18.9,17.2,15.6,81,83,yes,0.6,50,15.3,40,74,5.43,"High rainfall, consider drainage systems"
3,1019.7,20.3,19.3,18,18.4,95,91,yes,0,40,14.2,78,47,5.37,"High rainfall, consider drainage systems"
4,1018.9,22.3,20.6,19.1,18.8,90,88,yes,1,50,16.9,60,25,0.6,"Low rainfall, consider irrigation techniques"
5,1015.9,21.3,20.7,20.2,19.9,95,81,yes,0,40,13.7,81,54,1.24,"Low rainfall, consider irrigation techniques"
6,1018.8,24.3,20.9,19.2,18,84,51,yes,7.7,20,14.5,35,93,1.84,"Moderate rainfall, suitable for most crops"
7,1021.8,21.4,18.8,17,15,79,56,no,3.4,30,21.5,76,60,0.54,"Low rainfall, consider irrigation techniques"
8,1020.8,21,18.4,16.5,14.4,78,28,no,7.7,60,14.3,85,94,2.36,"Moderate rainfall, suitable for most crops"
9,1020.6,18.9,18.1,17.1,14.3,78,79,no,3.3,70,39.3,68,11,7.79,"High rainfall, consider drainage systems"
10,1017.5,18.5,18,17.2,15.5,85,91,yes,0,70,37.7,68,23,3.58,"Moderate rainfall, suitable for most crops"
11,1016.5,20.4,18.1,16.5,16.4,90,90,yes,2.1,40,23.3,74,8,6.63,"High rainfall, consider drainage systems"
12,1019.9,18.5,17.3,16.1,13.7,79,86,no,0.6,20,23.9,99,79,6.56,"High rainfall, consider drainage systems"
13,1020.8,18.7,16.1,14.2,12.1,77,34,no,9.1,30,24.4,90,91,2.92,"Moderate rainfall, suitable for most crops"
14,1019.3,17.5,16.5,15.6,12.9,79,81,yes,1.5,60,33.2,99,19,1.56,"Moderate rainfall, suitable for most crops"
15,1015.4,16.1,15.1,14.5,14.6,97,97,yes,0,50,37.5,46,8,7.86,"High rainfall, consider drainage systems"
16,1013.5,17.1,16.4,15.5,15.6,95,93,yes,0,60,40,28,38,5.4,"High rainfall, consider drainage systems"
17,1011.5,20.6,17.8,14.8,16.1,90,79,yes,1.6,20,23.4,79,68,6.57,"High rainfall, consider drainage systems"
18,1017.1,17.8,15.2,11.9,11.1,76,49,no,3.9,50,28.4,37,25,0.68,"Low rainfall, consider irrigation techniques"
19,1020.1,17.6,16.4,15.3,12.5,78,84,no,1,60,38,95,93,0.95,"Low rainfall, consider irrigation techniques"
20,1019.6,16.8,15.5,14.8,13.9,90,92,yes,0,70,50.6,35,56,0.22,"Low rainfall, consider irrigation techniques"
21,1017.7,17.1,16.1,15.1,15.3,95,100,yes,0,50,26.2,49,60,2.34,"Moderate rainfall, suitable for most crops"
22,1018.9,16.2,14.1,10.3,12.9,92,100,yes,0,50,35.3,57,15,1.97,"Moderate rainfall, suitable for most crops"
23,1027.1,10.4,8.5,7,3.4,70,95,yes,0,20,55.5,49,1,1.4,"Low rainfall, consider irrigation techniques"
24,1034.6,7.1,4.9,3.1,2.2,61,96,yes,0,20,59.5,54,39,6.91,"High rainfall, consider drainage systems"
25,1032.6,10.8,7.4,4.3,3.7,46,25,no,10.1,20,28.7,90,39,3.81,"Moderate rainfall, suitable for most crops"
26,1027.1,13.5,10.4,8.1,2.5,59,85,yes,0.4,20,21.3,81,87,0.48,"Low rainfall, consider irrigation techniques"
27,1022.7,15.3,13,9.8,11.6,92,95,yes,0.2,20,29.6,40,86,7.99,"High rainfall, consider drainage systems"
